kode_barang_lengkap,nama_barang_spesifik
1.3.2.05.01.01.001,Mesin Ketik Manual Portable (11-13 Inci)
1.3.2.05.01.01.002,Mesin Ketik Manual Standard (14-16 Inci)
1.3.2.05.01.01.003,Mesin Ketik Manual Langewagon (18-27 Inci)
1.3.2.05.01.01.004,Mesin Ketik Listrik
1.3.2.05.01.01.005,Mesin Ketik Listrik Portable (11-13 Inci)
1.3.2.05.01.01.006,Mesin Ketik Listrik Standard (14-16 Inci)
1.3.2.05.01.01.007,Mesin Ketik Listrik Langewagon (18-27 Inci)
1.3.2.05.01.01.008,Mesin Ketik Elektronik/Elektrik
1.3.2.05.01.01.009,Mesin Ketik Braille
1.3.2.05.01.01.010,Mesin Phromosons
1.3.2.05.01.01.011,Mesin Cetak Stereo Piper (Braille)
1.3.2.05.01.02.001,Mesin Hitung Manual
1.3.2.05.01.02.002,Mesin Hitung Listrik
1.3.2.05.01.02.003,Mesin Hitung Elektronik/Calculator
1.3.2.05.01.02.004,Mesin Kas Register
1.3.2.05.01.02.005,Abakus (Alat Hitung)
1.3.2.05.01.02.006,Blokycs (Mesin Hitung Braille)
1.3.2.05.01.02.007,Mesin Penghitung Uang
1.3.2.05.01.02.008,Mesin Pembukuan
1.3.2.05.01.02.009,Mesin Penghitung Kertas/Pita Cukai
1.3.2.05.01.02.010,Mesin Absen (Time Recorder)
1.3.2.05.01.02.011,Mesin Kontrol Jaga
1.3.2.05.01.02.012,Mesin Penghitung Uang
1.3.2.05.01.03.001,Mesin Stensil Manual Folio
1.3.2.05.01.03.002,Mesin Stensil Manual Double Folio
1.3.2.05.01.03.003,Mesin Stensil Listrik Folio
1.3.2.05.01.03.004,Mesin Stensil Listrik Double Folio
1.3.2.05.01.03.005,Mesin Stensil Spiritus Manual
1.3.2.05.01.03.006,Mesin Stensil Spiritus Listrik
1.3.2.05.01.03.007,Mesin Fotocopy Folio
1.3.2.05.01.03.008,Mesin Fotocopy Double Folio
1.3.2.05.01.03.009,Mesin Fotocopy Electronic
1.3.2.05.01.03.010,Mesin Thermoforn
1.3.2.05.01.03.011,Mesin Fotocopy Lainnya
1.3.2.05.01.03.012,Risograf
1.3.2.05.01.03.013,Mesin Perekam Stensil Folio
1.3.2.05.01.03.014,Mesin Perekam Stensil Double Folio
1.3.2.05.01.03.015,Mesin Plate Folio
1.3.2.05.01.03.016,Mesin Plate Double Folio
1.3.2.05.01.04.001,Lemari Besi/Metal
1.3.2.05.01.04.002,Lemari Kayu
1.3.2.05.01.04.003,Rak Besi
1.3.2.05.01.04.004,Rak Kayu
1.3.2.05.01.04.005,Filling Cabinet Besi
1.3.2.05.01.04.006,Filling Cabinet Kayu
1.3.2.05.01.04.007,Brankas
1.3.2.05.01.04.008,Peti Uang/Cash Box/Coin Box
1.3.2.05.01.04.009,Kardex Besi
1.3.2.05.01.04.010,Kardex Kayu
1.3.2.05.01.04.011,Rotary Filling
1.3.2.05.01.04.012,Compact Rolling
1.3.2.05.01.04.013,Buffet
1.3.2.05.01.04.014,Mobile File
1.3.2.05.01.04.015,Locker
1.3.2.05.01.04.016,Roll Opek
1.3.2.05.01.04.017,Tempat Menyimpan Gambar
1.3.2.05.01.04.018,Kontainer
1.3.2.05.01.04.019,Coin Box
1.3.2.05.01.04.020,Lemari Display
1.3.2.05.01.04.021,Water Proof Box
1.3.2.05.01.04.022,Folding Container Box
1.3.2.05.01.04.023,Box Truck
1.3.2.05.01.04.024,Laci Box
1.3.2.05.01.04.025,Lemari Katalog
1.3.2.05.01.04.026,Lemari Sorok
1.3.2.05.01.04.027,Lemari Kaca
1.3.2.05.01.04.028,Lemari Makan
1.3.2.05.01.05.001,Narkotik Test
1.3.2.05.01.05.002,CCTV - Camera Control Television System
1.3.2.05.01.05.003,Papan Visual/Papan Nama
1.3.2.05.01.05.004,Movitex Board
1.3.2.05.01.05.005,White Board
1.3.2.05.01.05.006,Alat Detektor Uang Palsu
1.3.2.05.01.05.007,Alat Detektor Barang Terlarang/X Ray
1.3.2.05.01.05.008,Copy Board/Electric White Board
1.3.2.05.01.05.009,Peta
1.3.2.05.01.05.010,Alat Penghancur Kertas
1.3.2.05.01.05.011,Globe
1.3.2.05.01.05.012,Mesin Absensi
1.3.2.05.01.05.013,Dry Seal
1.3.2.05.01.05.014,Fergulator
1.3.2.05.01.05.015,Cream Polisher
1.3.2.05.01.05.016,Mesin Perangko
1.3.2.05.01.05.017,Check Writer
1.3.2.05.01.05.018,Numerator
1.3.2.05.01.05.019,Alat Pemotong Kertas
1.3.2.05.01.05.020,Headmachine Besar
1.3.2.05.01.05.021,Perforator Besar
1.3.2.05.01.05.022,Alat Pencetak Label
1.3.2.05.01.05.023,Overhead Projector
1.3.2.05.01.05.024,Hand Metal Detector
1.3.2.05.01.05.025,Walkman Detector
1.3.2.05.01.05.026,Panel Pameran
1.3.2.05.01.05.027,Alat Pengaman/Sinyal
1.3.2.05.01.05.028,Board Modulux
1.3.2.05.01.05.029,Porto Safe Travel Case
1.3.2.05.01.05.030,Disk Prime
1.3.2.05.01.05.031,Megashow
1.3.2.05.01.05.032,White Board Electronic
1.3.2.05.01.05.033,Laser Pointer
1.3.2.05.01.05.034,Display
1.3.2.05.01.05.035,Exhauster Form
1.3.2.05.01.05.036,Rubu Mujayyab
1.3.2.05.01.05.037,Elecric Dumper
1.3.2.05.01.05.038,Mesin Teraan
1.3.2.05.01.05.039,Mesin Laminating
1.3.2.05.01.05.040,Penangkal Petir
1.3.2.05.01.05.041,Stempel Timbul/Bulat
1.3.2.05.01.05.042,Lamu-lampu Kristal
1.3.2.05.01.05.043,LCD Projector/Infocus
1.3.2.05.01.05.044,Flip Chart
1.3.2.05.01.05.045,Binding Machine
1.3.2.05.01.05.046,Softboard
1.3.2.05.01.05.047,Alat Perekam Suara (Voice Pen)
1.3.2.05.01.05.048,Acces Control System
1.3.2.05.01.05.049,Intruction Detector
1.3.2.05.01.05.050,Monitor Panel With Mimic Board
1.3.2.05.01.05.051,"Panic Button System, Alarm Indicator"
1.3.2.05.01.05.052,Pintu Elektrik (yang Memakai Akses)
1.3.2.05.01.05.053,Focusing Screen/Layar LCD Projector
1.3.2.05.01.05.054,Alat Detektor Barang Terlarang
1.3.2.05.01.05.055,Projector Spider Bracket
1.3.2.05.01.05.056,Papan Gambar
1.3.2.05.01.05.057,Bel
1.3.2.05.01.05.058,Electric Pressing Machine
1.3.2.05.01.05.059,Encapsulator (Jarasonic welder)
1.3.2.05.01.05.060,Deacidificator Unit (Non Aquas)
1.3.2.05.01.05.061,Full Automatic Leaf Caster
1.3.2.05.01.05.062,Conservation Tools
1.3.2.05.01.05.063,Board Stand
1.3.2.05.01.05.064,Vacuum Freeze Dry Chamber
1.3.2.05.01.05.065,Kotak Surat
1.3.2.05.01.05.066,Gembok
1.3.2.05.01.05.067,Compact Hand Projector
1.3.2.05.01.05.068,Alat Sidik Jari
1.3.2.05.01.05.069,Alat Penghancur Jarum
1.3.2.05.01.05.070,Walkthrough/Portal Metal Detektor
1.3.2.05.01.05.071,Handheld Trace Detector
1.3.2.05.01.05.072,Alat Deteksi Pita Cukai Palsi/Video Spectral Comparator
1.3.2.05.01.05.073,Mesin Packing/Strapping Machine
1.3.2.05.01.05.074,Television Control Operational Lift
1.3.2.05.01.05.075,Mesin Antrian
1.3.2.05.01.05.076,Papan Nama Instansi
1.3.2.05.01.05.077,Papan Pengumuman
1.3.2.05.01.05.078,Papan Tulis
1.3.2.05.01.05.079,Papan Absen
1.3.2.05.01.05.080,Mesin Fogging
1.3.2.05.01.05.081,Teralis
1.3.2.05.01.05.082,Alat Penerjemah
1.3.2.05.01.05.083,Alat Penghancur Plastik
1.3.2.05.01.05.084,Proteksi Petir Terpadu
1.3.2.05.01.05.085,Pakaian Toga
1.3.2.05.01.05.086,Sirine
1.3.2.05.01.05.087,Tongkal Pedel
1.3.2.05.02.01.001,Meja Kerja Besi/Metal
1.3.2.05.02.01.002,Meja Kerja Kayu
1.3.2.05.02.01.003,Kursi Besi/Metal
1.3.2.05.02.01.004,Kursi Kayu
1.3.2.05.02.01.005,Sice
1.3.2.05.02.01.006,Bangku Panjang Besi/Metal
1.3.2.05.02.01.007,Bangku Panjang Kayu
1.3.2.05.02.01.008,Meja Rapat
1.3.2.05.02.01.009,Tempat Tidur Besi
1.3.2.05.02.01.010,Tempat Tidur Kayu
1.3.2.05.02.01.011,Meja Ketik
1.3.2.05.02.01.012,Meja Telepon
1.3.2.05.02.01.013,Meja Podium
1.3.2.05.02.01.014,Meja Resepsionis
1.3.2.05.02.01.015,Meja Marmer
1.3.2.05.02.01.016,Meja Tambahan
1.3.2.05.02.01.017,Meja Panjang
1.3.2.05.02.01.018,Meja Bundar
1.3.2.05.02.01.019,Meja Periksa Pasien
1.3.2.05.02.01.020,Meja Obat
1.3.2.05.02.01.021,Meja Kartu
1.3.2.05.02.01.022,Meja Bayi
1.3.2.05.02.01.023,Meja Sekolah
1.3.2.05.02.01.024,Meja 1/2 Biro
1.3.2.05.02.01.025,Kasur/Spring Bed
1.3.2.05.02.01.026,Sketsel
1.3.2.05.02.01.027,Meja Makan Besi
1.3.2.05.02.01.028,Meja Makan Kayu
1.3.2.05.02.01.029,Kursi Fiber Glass/Plastik
1.3.2.05.02.01.030,Kursi Rapat
1.3.2.05.02.01.031,Kursi Tamu
1.3.2.05.02.01.032,Kursi Putar
1.3.2.05.02.01.033,Kursi Biasa
1.3.2.05.02.01.034,Bangku Sekolah
1.3.2.05.02.01.035,Bangku Tunggu
1.3.2.05.02.01.036,Kursi Lipat
