level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
1,1,ASET,,,,,,,,,,,,,,,,,,,,,,,
2,1.1,ASET LANCAR,,,,,,,,,,,,,,,,,,,,,,,
3,1.1.7,PERSEDIAAN,,,,,,,,,,,,,,,,,,,,,,,
4,1.1.7.01,BARANG PAKAI HABIS,,,,,,,,,,,,,,,,,,,,,,,
5,1.1.7.01.01,BAHAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.01,BAHAN BANGUNAN DAN KONSTRUKSI,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.02,BAHAN KIMIA,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.03,BAHAN PELEDAK,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.04,BAHAN BAKAR DAN PELUMAS,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.05,BAHAN BAKU,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.06,BAHAN KIMIA NUKLIR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.07,BARANG DALAM PROSES,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.08,BAHAN/BIBIT TANAMAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.09,ISI TABUNG PEMADAM KEBAKARAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.10,ISI TABUNG GAS,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.11,BAHAN/BIBT TERNAK/BIBIT IKAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.01.12,BAHAN LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.1.7.01.02,SUKU CADANG,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.01,SUKU CADANG ALAT ANGKUTAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.02,SUKU CADANG ALAT BESAR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.03,SUKU CADANG ALAT KEDOKTERAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.04,SUKU CADANG ALAT LABORATORIUM,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.05,SUKU CADANG ALAT PEMANCAR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.06,SUKU CADANG ALAT STUDIO DAN KOMUNIKASI,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.07,SUKU CADANG ALAT PERTANIAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.08,SUKU CADANG ALAT BENGKEL,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.09,SUKU CADANG ALAT PERSENJATAAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.10,PERSEDIAAN DARI BELANJA BANTUAN SOSIAL,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.02.11,SUKU CADANG LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.1.7.01.03,ALAT/BAHAN UNTUK KEGIATAN KANTOR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.01,ALAT TULIS KANTOR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.02,KERTAS DAN COVER,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.03,BAHAN CETAK,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.04,BENDA POS,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.05,PERSEDIAAN DOKUMEN/ADMINISTRASI TENDER,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.06,BAHAN KOMPUTER,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.07,PERABOT KANTOR,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.08,ALAT LISTRIK,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.09,PERLENGKAPAN DINAS,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.10,KAPORLAP DAN PERLENGKAPAN SATWA,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.11,PERLENGKAPAN PENDUKUNG OLAH RAGA,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.12,SUVENIR/CENDERA MATA,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.03.13,ALAT/BAHAN UNTUK KEGIATAN KANTOR LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.1.7.01.04,OBAT-OBATAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.04.01,OBAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.04.02,OBAT-OBATAN LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
5,1.1.7.01.05,PERSEDIAAN UNTUK DIJUAL/DISERAHKAN,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.05.01,PERSEDIAAN UNTUK DIJUAL/DISERAHKAN KEPADA MASYARAKAT,,,,,,,,,,,,,,,,,,,,,,,
6,1.1.7.01.05.02,PERSEDIAAN UNTUK DIJUAL/DISERAHKAN LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
2,1.3,ASET TETAP,,,,,,,,,,,,,,,,,,,,,,,
3,1.3.2,PERALATAN DAN MESIN,,,,,,,,,,,,,,,,,,,,,,,
4,1.3.2.05,ALAT KANTOR DAN RUMAH TANGGA,,,,,,,,,,,,,,,,,,,,,,,
5,1.3.2.05.01,ALAT KANTOR LAINNYA,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.01.01,MESIN KETIK,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.001,Mesin Ketik Manual Portable (11-13 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.002,Mesin Ketik Manual Standard (14-16 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.003,Mesin Ketik Manual Langewagon (18-27 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.004,Mesin Ketik Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.005,Mesin Ketik Listrik Portable (11-13 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.006,Mesin Ketik Listrik Standard (14-16 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.007,Mesin Ketik Listrik Langewagon (18-27 Inci),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.008,Mesin Ketik Elektronik/Elektrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.009,Mesin Ketik Braille,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.010,Mesin Phromosons,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.01.011,Mesin Cetak Stereo Piper (Braille),,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.01.02,MESIN HITUNG/MESIN JUMLAH,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.001,Mesin Hitung Manual,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.002,Mesin Hitung Listrik,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.003,Mesin Hitung Elektronik/Calculator,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.004,Mesin Kas Register,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.005,Abakus (Alat Hitung),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.006,Blokycs (Mesin Hitung Braille),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.007,Mesin Penghitung Uang,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.008,Mesin Pembukuan,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.009,Mesin Penghitung Kertas/Pita Cukai,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.010,Mesin Absen (Time Recorder),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.02.011,Mesin Kontrol Jaga,,,,,,,,,,,,,,,,,,,,,,,
6,1.3.2.05.01.03,ALAT REPRODUKSI (PENGGANDAAN),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.03.001,Mesin Stensil Manual Folio,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.03.002,Mesin Stensil Manual Double Folio,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.03.003,Mesin Stensil Listrik Folio,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.03.004,Mesin Stensil Listrik Double Folio,,,,,,,,,,,,,,,,,,,,,,,
